K,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err
9,13,0.04,1000,24,0.195105,0.897914,0.689564,0.343395,0.405733,0.821149,0.193559,0.658449,0.928732,0.025384
9,14,0.04,1000,24,0.158115,0.845945,0.68859,0.347659,0.393057,0.857021,0.151904,0.656089,0.931787,0.025154
9,15,0.04,1000,24,0.203622,0.886671,0.670013,0.329165,0.408219,0.902109,0.201532,0.659765,0.924415,0.025935
9,16,0.04,1000,24,0.188335,0.942989,0.701294,0.345877,0.410065,0.890882,0.188677,0.658619,0.932611,0.02514
9,17,0.04,1000,24,0.190395,0.9339,0.667442,0.335577,0.411455,0.889033,0.188988,0.658595,0.931082,0.025478
9,18,0.04,1000,24,0.166061,0.90806,0.699808,0.333606,0.405471,0.826624,0.168344,0.656734,0.934167,0.02449
9,19,0.04,1000,24,0.193296,0.857706,0.688849,0.328925,0.40291,0.805588,0.188163,0.660054,0.928101,0.025778
9,20,0.04,1000,24,0.16845,0.90268,0.694831,0.342138,0.407023,0.878041,0.166074,0.657356,0.934302,0.025462
10,1,0.04,1000,24,0.181974,0.872701,0.678073,0.342475,0.407713,0.824088,0.184738,0.656363,0.939706,0.024298
10,2,0.04,1000,24,0.166508,0.951958,0.714104,0.349278,0.411505,0.84895,0.171506,0.659184,0.939673,0.023508
10,3,0.04,1000,24,0.198828,0.939675,0.686926,0.327421,0.409878,0.835665,0.201086,0.658101,0.935825,0.024034
10,4,0.04,1000,24,0.19437,0.974624,0.700118,0.328622,0.408074,0.802497,0.19011,0.657362,0.938204,0.024272
10,5,0.04,1000,24,0.189309,0.907025,0.713415,0.347369,0.411229,0.839301,0.188809,0.657797,0.936179,0.023907
10,6,0.04,1000,24,0.176339,0.909484,0.705285,0.350329,0.410568,0.85984,0.16942,0.655599,0.93182,0.023703
10,7,0.04,1000,24,0.183356,0.91466,0.697448,0.341225,0.417204,0.850496,0.187055,0.657399,0.93933,0.024128
10,8,0.04,1000,24,0.172263,0.931363,0.683587,0.34629,0.407553,0.886632,0.166744,0.657024,0.939603,0.023867
10,9,0.04,1000,24,0.186545,0.863955,0.704989,0.333967,0.406704,0.813438,0.190338,0.659563,0.938361,0.024137
10,10,0.04,1000,24,0.180945,0.944938,0.69353,0.349697,0.401783,0.824923,0.169032,0.660081,0.935759,0.024307
10,11,0.04,1000,24,0.181987,0.87892,0.7114,0.32929,0.414362,0.808875,0.183164,0.659097,0.93484,0.023386
10,12,0.04,1000,24,0.193209,0.969724,0.72839,0.342921,0.408832,0.853557,0.183451,0.654239,0.939294,0.023662
10,13,0.04,1000,24,0.180062,0.888035,0.716724,0.348003,0.413983,0.851829,0.178132,0.657236,0.941839,0.024472
10,14,0.04,1000,24,0.170095,0.876559,0.703446,0.336598,0.39952,0.838341,0.166799,0.657893,0.941486,0.024134
10,15,0.04,1000,24,0.214414,0.971463,0.715047,0.331703,0.4106,0.873479,0.210615,0.659098,0.935355,0.024221
10,16,0.04,1000,24,0.176908,0.893432,0.705262,0.354136,0.415395,0.848384,0.173198,0.659659,0.937266,0.023171
10,17,0.04,1000,24,0.177176,0.879146,0.687738,0.336965,0.409372,0.867471,0.174617,0.658959,0.936498,0.023922
10,18,0.04,1000,24,0.169958,0.929611,0.702582,0.3538,0.411099,0.847669,0.168449,0.657678,0.937173,0.02334
10,19,0.04,1000,24,0.170597,0.922778,0.699888,0.35012,0.411437,0.909746,0.162682,0.658741,0.934229,0.024459
10,20,0.04,1000,24,0.182259,0.901,0.688122,0.351595,0.404542,0.864141,0.177015,0.656995,0.939953,0.024532
11,1,0.04,1000,24,0.168615,0.892552,0.670599,0.329402,0.407763,0.890843,0.158563,0.660333,0.942331,0.022405
11,2,0.04,1000,24,0.187147,0.921889,0.699499,0.337493,0.405857,0.850211,0.191295,0.662158,0.944676,0.022869
11,3,0.04,1000,24,0.180044,0.939853,0.734763,0.348131,0.409741,0.870408,0.179167,0.658939,0.937323,0.023087
11,4,0.04,1000,24,0.183078,0.949976,0.707612,0.327525,0.411088,0.802641,0.176523,0.658477,0.94124,0.023604
11,5,0.04,1000,24,0.178589,0.921139,0.683102,0.343996,0.407374,0.799732,0.170952,0.654847,0.940214,0.02319
11,6,0.04,1000,24,0.199719,0.862824,0.687223,0.327934,0.411861,0.80004,0.200008,0.659268,0.938268,0.023021
11,7,0.04,1000,24,0.179075,0.879824,0.728572,0.344733,0.417695,0.801909,0.175855,0.655587,0.939962,0.023099
11,8,0.04,1000,24,0.188594,0.935853,0.708857,0.332908,0.408259,0.899371,0.19092,0.65918,0.942791,0.023415
11,9,0.04,1000,24,0.15897,0.89924,0.690573,0.349622,0.412322,0.819947,0.155268,0.656446,0.939808,0.022944
11,10,0.04,1000,24,0.166409,0.876651,0.668735,0.328355,0.397173,0.798941,0.15589,0.658783,0.943847,0.02381
11,11,0.04,1000,24,0.19186,0.909546,0.67702,0.348458,0.411594,0.809439,0.190495,0.657992,0.941347,0.023118
11,12,0.04,1000,24,0.158365,0.926531,0.694162,0.359402,0.407078,0.847883,0.157218,0.658763,0.945268,0.023397
11,13,0.04,1000,24,0.194229,0.91198,0.676201,0.329801,0.415579,0.959857,0.190801,0.658769,0.942361,0.023605
11,14,0.04,1000,24,0.223029,0.915867,0.710135,0.334695,0.404931,0.835121,0.2179,0.657954,0.940831,0.022951
11,15,0.04,1000,24,0.180588,0.876105,0.693935,0.338437,0.413207,0.901689,0.184168,0.659639,0.944329,0.02337
11,16,0.04,1000,24,0.163639,0.942863,0.696194,0.346745,0.406328,0.823965,0.155058,0.659418,0.945298,0.022625
11,17,0.04,1000,24,0.177295,0.904157,0.693908,0.344059,0.415362,0.916356,0.168385,0.656011,0.941777,0.023276
11,18,0.04,1000,24,0.181956,0.871006,0.691768,0.336242,0.405501,0.858017,0.184995,0.656536,0.944816,0.022617
11,19,0.04,1000,24,0.187536,0.918755,0.706311,0.341738,0.409365,0.876958,0.186536,0.657971,0.940817,0.023655
11,20,0.04,1000,24,0.187364,0.883423,0.734317,0.334043,0.409158,0.814054,0.192689,0.658568,0.945107,0.023472
12,1,0.04,1000,24,0.211243,0.932242,0.711363,0.337703,0.412987,0.831881,0.207007,0.656518,0.942561,0.021834
12,2,0.04,1000,24,0.172471,0.877637,0.711318,0.341863,0.42129,0.847652,0.182301,0.658058,0.944817,0.021847
12,3,0.04,1000,24,0.200287,0.890914,0.707741,0.340317,0.411556,0.837854,0.204551,0.658795,0.944813,0.022625
12,4,0.04,1000,24,0.175913,0.899134,0.711339,0.334093,0.42247,0.835885,0.182011,0.657766,0.945807,0.022735
12,5,0.04,1000,24,0.163071,0.918338,0.66222,0.333677,0.409249,0.842962,0.164612,0.659105,0.947042,0.022586
12,6,0.04,1000,24,0.200461,0.897019,0.740411,0.344938,0.417439,0.860121,0.202752,0.659445,0.941592,0.022157
12,7,0.04,1000,24,0.177968,0.968909,0.711233,0.343383,0.411542,0.82004,0.172565,0.656881,0.945549,0.021919
12,8,0.04,1000,24,0.16642,0.876798,0.66797,0.344466,0.419701,0.798344,0.165483,0.65938,0.943495,0.022575
12,9,0.04,1000,24,0.198063,0.916825,0.696218,0.348329,0.4196,0.809865,0.195244,0.656544,0.942659,0.022549
12,10,0.04,1000,24,0.175585,0.859872,0.680535,0.332215,0.402302,0.76011,0.176181,0.658501,0.948523,0.023287
12,11,0.04,1000,24,0.170478,0.941213,0.659368,0.331532,0.414837,0.817727,0.170383,0.65657,0.949012,0.022028
12,12,0.04,1000,24,0.177523,0.95475,0.677177,0.343027,0.412008,0.928265,0.183145,0.657611,0.950012,0.022546
12,13,0.04,1000,24,0.173658,0.904413,0.658473,0.326187,0.41235,0.771188,0.174844,0.658559,0.949363,0.022823
12,14,0.04,1000,24,0.177271,0.95356,0.691181,0.334497,0.415001,0.865041,0.174488,0.661301,0.944806,0.022484
12,15,0.04,1000,24,0.189723,0.886897,0.708953,0.339594,0.422066,0.824147,0.181991,0.658423,0.94656,0.022111
12,16,0.04,1000,24,0.194006,0.9044,0.703858,0.341157,0.41136,0.841006,0.193277,0.659534,0.946912,0.022416
12,17,0.04,1000,24,0.166165,0.884573,0.682131,0.341931,0.416996,0.858605,0.176719,0.658248,0.944473,0.022718
12,18,0.04,1000,24,0.182997,0.874718,0.710195,0.330597,0.41426,0.806102,0.182297,0.658696,0.948505,0.022033
12,19,0.04,1000,24,0.199182,0.894513,0.704106,0.347561,0.409482,0.807154,0.197414,0.658103,0.945066,0.022741
