topology,seed,noise,gamma,tick,size,lr2,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,mean_self_pred_err
moore,8,0.08,0.01,1000,24,0.003,0.20135,0.940766,0.7138,0.336016,0.308863,0.769809,0.130556,0.661539,0.799675,0.044848,0.02242
moore,9,0.08,0.01,1000,24,0.003,0.21276,0.946994,0.725041,0.342264,0.308029,0.842512,0.149114,0.663381,0.790747,0.043843,0.022213
moore,10,0.08,0.01,1000,24,0.003,0.209996,0.907263,0.72704,0.329149,0.314875,0.820222,0.138401,0.660178,0.797051,0.04445,0.021807
moore,11,0.08,0.01,1000,24,0.003,0.166709,0.906374,0.698263,0.337455,0.309596,0.770691,0.106655,0.66174,0.818515,0.043728,0.022136
moore,12,0.08,0.01,1000,24,0.003,0.193092,0.844223,0.710257,0.333857,0.310418,0.82048,0.135416,0.662956,0.80438,0.044149,0.021836
moore,13,0.08,0.01,1000,24,0.003,0.198677,0.864262,0.712023,0.343058,0.305106,0.750781,0.139297,0.662067,0.786617,0.044979,0.022524
moore,14,0.08,0.01,1000,24,0.003,0.208665,0.927773,0.714417,0.327993,0.306961,0.744784,0.13634,0.659138,0.783468,0.045666,0.021974
moore,15,0.08,0.01,1000,24,0.003,0.21217,0.945891,0.729855,0.333399,0.320779,0.774824,0.141985,0.662382,0.792108,0.044261,0.022377
moore,16,0.08,0.01,1000,24,0.003,0.207879,0.960218,0.734781,0.339471,0.31594,0.804019,0.136467,0.66018,0.795391,0.044476,0.022422
moore,17,0.08,0.01,1000,24,0.003,0.197005,0.92371,0.709793,0.340995,0.317452,0.779421,0.132127,0.661237,0.793727,0.045814,0.022186
moore,18,0.08,0.01,1000,24,0.003,0.203052,0.919503,0.727203,0.343824,0.296984,0.779622,0.122484,0.659537,0.806379,0.043047,0.02208
moore,19,0.08,0.01,1000,24,0.003,0.181851,0.959916,0.719658,0.35137,0.294197,0.750119,0.11727,0.659395,0.804584,0.045136,0.022167
moore,20,0.08,0.01,1000,24,0.003,0.237063,0.912101,0.719077,0.326015,0.324378,0.737261,0.153459,0.660887,0.789798,0.044657,0.022198
moore,1,0.12,0.01,1000,24,0.003,0.197614,0.940227,0.710756,0.333401,0.274359,0.652179,0.122935,0.662406,0.71734,0.060806,0.028436
moore,2,0.12,0.01,1000,24,0.003,0.180759,0.901472,0.69134,0.343924,0.288481,0.647426,0.098726,0.660942,0.706665,0.061461,0.028271
moore,3,0.12,0.01,1000,24,0.003,0.188103,0.880367,0.694973,0.329849,0.28094,0.740221,0.107703,0.660497,0.72448,0.060852,0.028272
moore,4,0.12,0.01,1000,24,0.003,0.204196,0.977106,0.703097,0.322509,0.282539,0.712112,0.126273,0.660734,0.715201,0.061669,0.028272
moore,5,0.12,0.01,1000,24,0.003,0.205926,0.879036,0.705787,0.341917,0.277654,0.771567,0.107373,0.660099,0.717199,0.063227,0.028526
moore,6,0.12,0.01,1000,24,0.003,0.204583,0.902329,0.726607,0.340335,0.28146,0.723425,0.114737,0.661067,0.698603,0.062031,0.028069
moore,7,0.12,0.01,1000,24,0.003,0.199185,0.875074,0.723467,0.336774,0.282407,0.738757,0.13201,0.661302,0.706706,0.061222,0.028139
moore,8,0.12,0.01,1000,24,0.003,0.199315,0.946283,0.727296,0.333799,0.276407,0.756117,0.110746,0.662967,0.718385,0.061226,0.028429
moore,9,0.12,0.01,1000,24,0.003,0.215322,0.940664,0.739076,0.34427,0.276485,0.863533,0.140319,0.662849,0.703542,0.061073,0.028298
moore,10,0.12,0.01,1000,24,0.003,0.216074,0.886678,0.711994,0.327244,0.283628,0.824038,0.127146,0.66095,0.707794,0.061349,0.027538
moore,11,0.12,0.01,1000,24,0.003,0.1698,0.94982,0.712464,0.342373,0.28004,0.733821,0.095506,0.663085,0.738001,0.059856,0.028257
moore,12,0.12,0.01,1000,24,0.003,0.196856,0.899044,0.715718,0.336399,0.279134,0.736164,0.128728,0.663803,0.714822,0.060407,0.027719
moore,13,0.12,0.01,1000,24,0.003,0.190512,0.886774,0.685158,0.340705,0.272155,0.736859,0.118297,0.661991,0.701289,0.062368,0.028597
moore,14,0.12,0.01,1000,24,0.003,0.208033,0.908907,0.701142,0.324407,0.277313,0.787474,0.115475,0.660358,0.689395,0.063255,0.027708
moore,15,0.12,0.01,1000,24,0.003,0.217326,0.941297,0.726749,0.333909,0.291563,0.737289,0.127076,0.663083,0.702684,0.061439,0.028381
moore,16,0.12,0.01,1000,24,0.003,0.205324,0.948581,0.718095,0.340351,0.281032,0.702115,0.118084,0.660363,0.710259,0.061336,0.028527
