topology,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
moore,40,0.04,500,12,0.205417,0.834113,0.643786,0.33136,0.361683,0.692182,0.028367,-0.021212,3.5888,3.6544,11,3
moore,40,0.04,1000,12,0.166136,0.85215,0.662756,0.374037,0.364373,0.79426,0.031596,-0.068978,3.7811,3.6997,14,4
moore,41,0.04,500,12,0.137835,0.820694,0.71542,0.367502,0.326476,0.684411,0.03147,-0.023809,3.808,3.5732,14,6
moore,41,0.04,1000,12,0.201543,0.848843,0.696438,0.331487,0.347352,0.718104,0.031905,-0.016785,3.6666,3.5137,8,5
moore,42,0.04,500,12,0.234225,0.939501,0.725663,0.294625,0.351183,0.698505,0.029688,-0.004944,3.5689,3.6765,9,8
moore,42,0.04,1000,12,0.225073,0.829636,0.703352,0.320034,0.370523,0.76703,0.031348,-0.012665,3.644,3.6039,8,7
moore,43,0.04,500,12,0.196084,0.844572,0.688463,0.327319,0.372115,0.685288,0.029301,-0.032064,3.6578,3.624,11,5
moore,43,0.04,1000,12,0.183578,0.852621,0.656526,0.326295,0.341245,0.768152,0.029855,-0.011005,3.6554,3.3976,12,6
moore,44,0.04,500,12,0.142087,0.857977,0.697333,0.340814,0.351798,0.767595,0.030875,0.027135,3.6847,3.4763,12,8
moore,44,0.04,1000,12,0.183146,0.9247,0.666087,0.328718,0.34577,0.765968,0.030571,-0.00384,3.6694,3.5001,7,3
moore,45,0.04,500,12,0.16927,0.877763,0.709706,0.344735,0.363999,0.817243,0.030711,0.034222,3.7629,3.4471,8,9
moore,45,0.04,1000,12,0.229421,0.851448,0.743801,0.334474,0.367276,0.767766,0.029537,-0.009892,3.6692,3.7323,9,8
moore,46,0.04,500,12,0.172364,0.864429,0.682531,0.366428,0.354016,0.74812,0.032471,0.00819,3.7639,3.5996,12,6
moore,46,0.04,1000,12,0.207431,0.864945,0.723795,0.358679,0.365635,0.922345,0.030013,0.002778,3.6909,3.4528,6,8
moore,47,0.04,500,12,0.158831,0.814893,0.649429,0.317625,0.342181,0.701029,0.029726,-0.067457,3.6059,3.5768,9,2
moore,47,0.04,1000,12,0.196258,0.887541,0.681174,0.324012,0.384152,0.689998,0.032022,0.022923,3.6402,3.7405,11,6
moore,48,0.04,500,12,0.206958,0.947728,0.734952,0.363528,0.387723,0.706007,0.030336,-0.019495,3.8302,3.75,9,6
moore,48,0.04,1000,12,0.164075,0.82847,0.720572,0.353108,0.389101,0.844316,0.029015,-0.00262,3.7987,3.5255,9,7
moore,49,0.04,500,12,0.185456,0.766091,0.702623,0.326807,0.348999,0.77955,0.03001,-0.044633,3.6028,3.4572,11,6
